Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
National,National,,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"3,029,610",,73%,,Not peered
National,National,,Unpeered,FY,2011–12,Triage 5. Non-Urgent,"570,228",,89%,,Not peered
National,National,,Unpeered,FY,2012–13,Triage 5. Non-Urgent,"533,469",,91%,,Not peered
National,National,,Unpeered,FY,2013–14,Triage 5. Non-Urgent,"602,814",,92%,,Not peered
National,National,,Unpeered,FY,2014–15,Triage 5. Non-Urgent,"586,020",,92%,,Not peered
National,National,,Unpeered,FY,2015–16,Triage 5. Non-Urgent,"558,568",,93%,,Not peered
National,National,,Unpeered,FY,2016–17,Triage 5. Non-Urgent,"565,144",,92%,,Not peered
National,National,,Unpeered,FY,2017–18,Triage 5. Non-Urgent,"552,918",,92%,,Not peered
National,National,,Unpeered,FY,2018–19,Triage 5. Non-Urgent,"547,201",,91%,,Not peered
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 1. Resuscitation,323,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 1. Resuscitation,208,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 1. Resuscitation,188,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 1. Resuscitation,237,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 1. Resuscitation,311,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 1. Resuscitation,311,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 1. Resuscitation,266,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 1. Resuscitation,240,,100%,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 2. Emergency,"2,117",,77%,,80%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 2. Emergency,"2,045",,84%,,83%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 2. Emergency,"2,182",,85%,,85%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 2. Emergency,"2,435",,81%,,83%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 2. Emergency,"3,280",,80%,,83%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 2. Emergency,"3,389",,83%,,81%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 2. Emergency,"3,416",,81%,,80%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 2. Emergency,"3,930",,80%,,79%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 3. Urgent,"9,780",,77%,,70%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 3. Urgent,"10,261",,73%,,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 3. Urgent,"10,547",,72%,,75%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 3. Urgent,"11,815",,72%,,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 3. Urgent,"12,336",,65%,,71%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 3. Urgent,"12,216",,54%,,71%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 3. Urgent,"12,306",,58%,,70%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 3. Urgent,"11,763",,58%,,68%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 4. Semi-Urgent,"15,378",,75%,,71%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 4. Semi-Urgent,"15,126",,77%,,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 4. Semi-Urgent,"15,090",,77%,,75%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 4. Semi-Urgent,"14,676",,76%,,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 4. Semi-Urgent,"14,200",,73%,,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 4. Semi-Urgent,"14,136",,69%,,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 4. Semi-Urgent,"14,968",,70%,,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 4. Semi-Urgent,"15,239",,68%,,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,961",,89%,,88%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,112",,93%,,90%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,956",,91%,,91%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,584",,92%,,92%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,343",,95%,,92%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,474",,93%,,91%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,667",,95%,,91%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 5. Non-Urgent,"2,102",,93%,,91%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2011–12,Triage 1. Resuscitation,25,,100%,,99%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2012–13,Triage 1. Resuscitation,47,,100%,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2013–14,Triage 1. Resuscitation,30,,100%,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2014–15,Triage 1. Resuscitation,35,,100%,,99%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2015–16,Triage 1. Resuscitation,36,,100%,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2016–17,Triage 1. Resuscitation,42,,100%,,99%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2017–18,Triage 1. Resuscitation,30,,100%,*,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2018–19,Triage 1. Resuscitation,42,,100%,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2011–12,Triage 2. Emergency,771,,81%,,83%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2012–13,Triage 2. Emergency,950,,81%,,87%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2013–14,Triage 2. Emergency,910,,83%,,85%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2014–15,Triage 2. Emergency,883,,80%,,86%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2015–16,Triage 2. Emergency,874,,77%,,83%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2016–17,Triage 2. Emergency,948,,74%,,84%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2017–18,Triage 2. Emergency,924,,68%,,84%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2018–19,Triage 2. Emergency,803,,56%,,82%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2011–12,Triage 3. Urgent,"2,796",,79%,,78%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2012–13,Triage 3. Urgent,"3,604",,79%,,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2013–14,Triage 3. Urgent,"3,705",,82%,,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2014–15,Triage 3. Urgent,"3,905",,79%,,79%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2015–16,Triage 3. Urgent,"4,459",,72%,,77%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2016–17,Triage 3. Urgent,"4,340",,66%,,77%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2017–18,Triage 3. Urgent,"3,875",,65%,,75%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2018–19,Triage 3. Urgent,"3,593",,62%,,74%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2011–12,Triage 4. Semi-Urgent,"6,599",,81%,,78%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2012–13,Triage 4. Semi-Urgent,"7,184",,80%,,82%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2013–14,Triage 4. Semi-Urgent,"8,031",,85%,,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2014–15,Triage 4. Semi-Urgent,"9,052",,81%,,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2015–16,Triage 4. Semi-Urgent,"8,623",,78%,,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2016–17,Triage 4. Semi-Urgent,"8,321",,71%,,79%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2017–18,Triage 4. Semi-Urgent,"8,780",,74%,,78%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2018–19,Triage 4. Semi-Urgent,"9,350",,70%,,77%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2011–12,Triage 5. Non-Urgent,"3,591",,92%,,92%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,078",,93%,*,94%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,591",,96%,,94%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,195",,97%,,95%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,192",,94%,*,95%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,017",,94%,*,95%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,215",,93%,*,94%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,463",,90%,,94%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,61,,100%,,99%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,72,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,69,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,82,,100%,,99%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,116,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,116,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,111,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,103,,100%,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"1,594",,80%,,79%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"1,843",,80%,,81%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"2,127",,87%,,83%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"2,957",,83%,,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"3,487",,77%,,77%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"3,981",,79%,,79%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"4,018",,84%,,77%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"3,847",,74%,,75%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"8,082",,72%,,67%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"8,675",,71%,,66%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"8,302",,76%,,68%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"8,450",,80%,,66%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 3. Urgent,"9,043",,75%,,65%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 3. Urgent,"8,895",,75%,,65%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 3. Urgent,"9,603",,73%,,63%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 3. Urgent,"10,026",,63%,,63%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 4. Semi-Urgent,"10,687",,67%,,69%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 4. Semi-Urgent,"10,521",,69%,,71%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 4. Semi-Urgent,"10,797",,70%,,74%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 4. Semi-Urgent,"10,526",,76%,,73%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 4. Semi-Urgent,"9,702",,74%,,72%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 4. Semi-Urgent,"10,254",,73%,,73%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 4. Semi-Urgent,"10,317",,71%,,72%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 4. Semi-Urgent,"10,897",,63%,,71%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 5. Non-Urgent,"1,869",,NP†,,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 5. Non-Urgent,"1,839",,NP†,,92%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,082",,NP†,,92%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,702",,95%,*,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,390",,91%,*,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,472",,91%,*,90%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,773",,91%,*,90%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,496",,87%,*,89%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 1. Resuscitation,53,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 1. Resuscitation,49,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,63,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,53,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,63,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,55,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,34,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,42,,100%,,100%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 2. Emergency,"1,092",,50%,,81%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 2. Emergency,"1,156",,85%,,88%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,"1,180",,87%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,"1,198",,85%,,86%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,"1,204",,87%,,86%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,"1,378",,92%,,86%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,"1,320",,85%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,"1,352",,84%,,83%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 3. Urgent,"3,582",,59%,,80%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 3. Urgent,"3,757",,79%,,84%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"4,078",,79%,,82%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"4,268",,80%,,84%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"4,799",,84%,,84%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"4,646",,84%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"4,723",,83%,,83%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"4,937",,83%,,81%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 4. Semi-Urgent,"6,404",,67%,*,81%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 4. Semi-Urgent,"7,339",,74%,,83%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"7,561",,79%,,83%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"7,882",,81%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"7,531",,83%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"7,278",,84%,,85%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"8,440",,85%,,84%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"8,645",,83%,,83%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,178",,NP†,,94%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 5. Non-Urgent,"1,435",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,508",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,338",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,184",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,069",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,174",,NP†,,95%
Ballina Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,236",,95%,,95%
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,<5,,NP,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,<5,,NP,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,0,,-,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,<5,,NP,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,<5,,NP,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,<5,,NP,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,80,,99%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,51,,82%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,73,,99%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,64,,97%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,73,,96%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,162,,91%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,182,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,218,,92%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,212,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,218,,97%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,274,,98%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,325,,99%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,301,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,398,,96%,*,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,320,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,286,,99%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,387,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,327,,99%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,360,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,400,,NP†,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,340,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,573,,100%,,Not peered
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,407,,100%,,Not peered
