,beach_address,beach_name,country_state,country,latitude,longitude,postal_code,formatted_address,location_type,Img url
17,Yandaran Beach Queensland AUSTRALIA,Yandaran Beach,Queensland,AUSTRALIA,-24.6086132,152.1303962,Queensland,"Norval Park, Park Street, Yandaran QLD 4673, Australia",GEOMETRIC_CENTER,
18,Tomaree New South Wales AUSTRALIA,Tomaree,New South Wales,AUSTRALIA,-31.8894897,152.4444453,2430,"Taree NSW 2430, Australia",APPROXIMATE,
19,Line Reef Queensland AUSTRALIA,Line Reef,Queensland,AUSTRALIA,-19.674144,149.1746224,,,APPROXIMATE,
20,Belongil Bay New South Wales AUSTRALIA,Belongil Bay,New South Wales,AUSTRALIA,-28.6337328,153.6003455,Australia,"Belongil Beach, Byron Bay NSW 2481, Australia",APPROXIMATE,
21,Urunga area New South Wales AUSTRALIA,Urunga area,New South Wales,AUSTRALIA,-30.5,153.016667,2455,"Urunga NSW 2455, Australia",APPROXIMATE,
22,North Cottesloe Western Australia AUSTRALIA,North Cottesloe,Western Australia,AUSTRALIA,-31.9819839,115.7609704,6011,"North St, Cottesloe WA 6011, Australia",GEOMETRIC_CENTER,
23,Catseye Beach Hamilton Island Whitsundays Queensland AUSTRALIA,Catseye Beach,Queensland,AUSTRALIA,-20.3464395,148.9574515,Queensland,"4803 Resort Dr, Whitsundays QLD 4803, Australia",ROOFTOP,
24,Nambucca New South Wales AUSTRALIA,Nambucca,New South Wales,AUSTRALIA,-30.666463,152.7323884,,,APPROXIMATE,
25,7 Mile Beach Gerroa New South Wales AUSTRALIA,7 Mile Beach,New South Wales,AUSTRALIA,-34.7699,150.813133,2534,"Gerroa NSW 2534, Australia",APPROXIMATE,
26,Pyramids Beach Mandurah Western Australia AUSTRALIA,Pyramids Beach,Western Australia,AUSTRALIA,-32.6036041,115.6304031,6211,"Dawesville WA 6211, Australia",GEOMETRIC_CENTER,
27,Shelly Beach Ballina New South Wales AUSTRALIA,Shelly Beach,New South Wales,AUSTRALIA,-28.8632285,153.5943512,Australia,"Shelly Beach, East Ballina NSW 2478, Australia",APPROXIMATE,
28,Cid Harbor Whitsundays Queensland AUSTRALIA,Cid Harbor,Queensland,AUSTRALIA,-20.25,148.9333333,Australia,"Cid Harbour, Whitsundays QLD 4802, Australia",APPROXIMATE,
29,Guillotines surf break Shire of Augusta Margaret River Western Australia AUSTRALIA,Guillotines surf break,Western Australia,AUSTRALIA,-34.1622739,115.188916,,,APPROXIMATE,
30,Samurai Beach New South Wales AUSTRALIA,Samurai Beach,New South Wales,AUSTRALIA,-32.7673021,152.1244595,New South Wales,"545 Gan Gan Rd, One Mile NSW 2316, Australia",ROOFTOP,
31,Two Rocks near Three Mile Reef Western Australia AUSTRALIA,Two Rocks near Three Mile Reef,Western Australia,AUSTRALIA,-31.7755556,115.675,,,APPROXIMATE,
32,Swain Reef Queensland AUSTRALIA,Swain Reef,Queensland,AUSTRALIA,-21.9813586,152.473207,,,GEOMETRIC_CENTER,
33,Arrawarra Headland New South Wales AUSTRALIA,Arrawarra Headland,New South Wales,AUSTRALIA,-30.068611,153.195278,2456,"Arrawarra Headland NSW 2456, Australia",APPROXIMATE,
34,Flat Rock Ballina New South Wales AUSTRALIA,Flat Rock,New South Wales,AUSTRALIA,-28.8423626,153.6019473,2478,"Flat Rock Rd, New South Wales 2478, Australia",GEOMETRIC_CENTER,
35,Cairns Aquarium Queensland AUSTRALIA,Cairns Aquarium,Queensland,AUSTRALIA,-16.9184171,145.7738313,Queensland,"5 Florence St, Cairns City QLD 4870, Australia",ROOFTOP,
36,Dugong Bay Westerm Australia AUSTRALIA,Dugong Bay,Western Australia,AUSTRALIA,-16.395,123.8722222,,,APPROXIMATE,
37,Sharpes Beach Ballina New South Wales AUSTRALIA,Sharpes Beach,New South Wales,AUSTRALIA,-28.8338657,153.6051499,2478,"Skennars Head NSW 2478, Australia",GEOMETRIC_CENTER,
38,Gearys Beach Western Australia AUSTRALIA,Gearys Beach,Western Australia,AUSTRALIA,-27.6728168,121.6283098,,,APPROXIMATE,
40,Surfers Point Prevelly Western Australia AUSTRALIA,Surfers Point,Western Australia,AUSTRALIA,-33.9767383,114.9859836,Australia,"Surfers Point Rd, Prevelly WA 6285, Australia",GEOMETRIC_CENTER,
41,South Point Gracetown Western Australia AUSTRALIA,South Point,Western Australia,AUSTRALIA,-33.8638221,114.9769458,Australia,"Cowaramup Bay Rd, Gracetown WA 6284, Australia",GEOMETRIC_CENTER,
42,Lefthanders Margaret River Area Western Australia AUSTRALIA,Lefthanders,Western Australia,AUSTRALIA,-33.8752851,114.9861132,Australia,"Lefthanders Rd, Gracetown WA 6284, Australia",GEOMETRIC_CENTER,
43,Cobblestones Margaret River Area Western Australia AUSTRALIA,Cobblestones,Western Australia,AUSTRALIA,-33.9610465,115.0767388,6285,"Margaret River WA 6285, Australia",APPROXIMATE,
44,Watermans Bay Western Australia AUSTRALIA,Waterman's Bay,Western Australia,AUSTRALIA,-31.8496013,115.7549052,6020,"Watermans Bay WA 6020, Australia",APPROXIMATE,
45,Lorne Victoria AUSTRALIA,Lorne,Victoria,AUSTRALIA,-38.5366556,143.9715484,3232,"Lorne VIC 3232, Australia",APPROXIMATE,Lorne
46,Winkipop Victoria AUSTRALIA,Winkipop,Victoria,AUSTRALIA,-38.3680831,144.2849552,Victoria,"90 Bells Beach Rd, Bells Beach VIC 3228, Australia",ROOFTOP,Winkipop
47,Little Congwong Beach La Perouse New South Wales AUSTRALIA,Little Congwong Beach,New South Wales,AUSTRALIA,-33.9915566,151.2383626,New South Wales,"1532R Anzac Parade, La Perouse NSW 2036, Australia",ROOFTOP,
48,Westernport Bay Victoria AUSTRALIA,Westernport Bay,Victoria,AUSTRALIA,-38.3563059,145.2480193,,,APPROXIMATE,Westernport Bay
49,Surf Beach Kiama New South Wales AUSTRALIA,Surf Beach,New South Wales,AUSTRALIA,-34.6816667,150.8511111,Australia,"Surf Beach, Kiama NSW 2533, Australia",APPROXIMATE,
50,Mooloolaba Beach Queensland AUSTRALIA,Mooloolaba Beach,Queensland,AUSTRALIA,-26.6809437,153.121665,,,APPROXIMATE,
51,Avalon Point Manurah Western Australia AUSTRALIA,Avalon Point,Western Australia,AUSTRALIA,-32.5947053,115.6329821,Australia,"Indian Ocean Dr, Wannanup WA 6210, Australia",GEOMETRIC_CENTER,
52,Cone Bay Western Australia AUSTRALIA,Cone Bay,Western Australia,AUSTRALIA,-16.4683333,123.5352778,,,APPROXIMATE,
53,Lizard Island Queensland AUSTRALIA,Lizard Island,Queensland,AUSTRALIA,-14.6680433,145.463777,Australia,"Lizard Island, Lizard QLD 4892, Australia",APPROXIMATE,
54,Martin Islet New South Wales AUSTRALIA,Martin Islet,New South Wales,AUSTRALIA,-34.4943401,150.9378248,,,APPROXIMATE,
56,Avoca Beach New South Wales AUSTRALIA,Avoca Beach,New South Wales,AUSTRALIA,-33.465,151.435,2251,"Avoca Beach NSW 2251, Australia",APPROXIMATE,
57,Magnetic Island Queensland AUSTRALIA,Magnetic Island,Queensland,AUSTRALIA,-19.1358653,146.8423556,,,APPROXIMATE,
58,Birubi Point New South Wales AUSTRALIA,Birubi Point,New South Wales,AUSTRALIA,-32.7884091,152.0803143,Australia,"Birubi Point, Anna Bay NSW 2316, Australia",APPROXIMATE,
59,Normanville South Australia AUSTRALIA,Normanville,South Australia,AUSTRALIA,-35.4463828,138.3215845,5204,"Normanville SA 5204, Australia",APPROXIMATE,
60,Gracetown Western Australia AUSTRALIA,Gracetown,Western Australia,AUSTRALIA,-33.8641558,114.9882251,6284,"Gracetown WA 6284, Australia",APPROXIMATE,
61,Esperance Westerm Australia AUSTRALIA,Esperance,Western Australia,AUSTRALIA,-33.8613103,121.8914238,6450,"Esperance WA 6450, Australia",APPROXIMATE,
62,Sams Creek area Westerm Australia AUSTRALIA,Sam's Creek area,Western Australia,AUSTRALIA,-20.6223242,117.1836798,Australia,"Sams Creek Rd, Point Samson WA 6720, Australia",GEOMETRIC_CENTER,
63,Iluka Beach New South Wales AUSTRALIA,Iluka Beach,New South Wales,AUSTRALIA,-29.4120103,153.3647477,,,APPROXIMATE,
64,Cathedral Rock Victoria AUSTRALIA,Cathedral Rock,Victoria,AUSTRALIA,-31.4344388,120.8563042,,,GEOMETRIC_CENTER,cathedral rock
65,Floreat Beach Western Australia AUSTRALIA,Floreat Beach,Western Australia,AUSTRALIA,-31.9289594,115.7548856,Australia,"Floreat Beach, City Beach WA 6015, Australia",APPROXIMATE,
66,Point Casuarina Bunbury Western Australia AUSTRALIA,Point Casuarina,Western Australia,AUSTRALIA,-33.3153009,115.6371109,Australia,"Casuarina Dr, Bunbury WA 6230, Australia",GEOMETRIC_CENTER,
67,Flinders Mornington Penisula Victoria AUSTRALIA,Flinders,Victoria,AUSTRALIA,-38.474,145.022,3929,"Flinders VIC 3929, Australia",APPROXIMATE,Flinders
68,Evans Head New South Wales AUSTRALIA,Evans Head,New South Wales,AUSTRALIA,-29.1086171,153.4217078,2473,"Evans Head NSW 2473, Australia",APPROXIMATE,Thirteenth Beach
69,Weipa Queensland AUSTRALIA,Weipa,Queensland,AUSTRALIA,-12.6492936,141.8469901,,,APPROXIMATE,Bells Beach
70,Kelpies near Wylie Bay Western Australia AUSTRALIA,Kelpies near Wylie Bay,Western Australia,AUSTRALIA,-33.8324777,121.9970721,,,APPROXIMATE,Tyrendarra Beach
71,Moreton Bay Queensland AUSTRALIA,Moreton Bay,Queensland,AUSTRALIA,-27.3123953,153.3446649,,,APPROXIMATE,Tyrendarra Beach near Portland
72,The Farm New South Wales AUSTRALIA,The Farm,New South Wales,AUSTRALIA,-34.072,150.718,2570,"Spring Farm NSW 2570, Australia",APPROXIMATE,Paradise Beach
73,Mauds Point Western Australia AUSTRALIA,Mauds Point,Western Australia,AUSTRALIA,-31.9542884,115.8624252,Western Australia,"97 Murray St, Perth WA 6000, Australia",ROOFTOP,Winkipop Beach
74,Falcon Bay Beach Mandurah Western Australia AUSTRALIA,Falcon Bay Beach,Western Australia,AUSTRALIA,-32.5785751,115.6535813,,,APPROXIMATE,Cape Nelson
75,Eva Rock Queensland AUSTRALIA,Eva Rock,Queensland,AUSTRALIA,-18.235612,146.3256112,Australia,"Eva Island, Hinchinbrook QLD 4849, Australia",APPROXIMATE,
76,Boot Reef Torres Strait Queensland AUSTRALIA,Boot Reef,Queensland,AUSTRALIA,-10.2199025,141.9368545,,,APPROXIMATE,
77,Clairview Queensland AUSTRALIA,Clairview,Queensland,AUSTRALIA,-22.0422664,149.4835735,4741,"Clairview QLD 4741, Australia",APPROXIMATE,
78,Merimbula New South Wales AUSTRALIA,Merimbula,New South Wales,AUSTRALIA,-36.8875485,149.9058748,2548,"Merimbula NSW 2548, Australia",APPROXIMATE,
79,Bundegi Sanctuary Zone Ningaloo Western Australia AUSTRALIA,Bundegi Sanctuary Zone,Western Australia,AUSTRALIA,-22.6799051,113.6980491,6701,"Ningaloo WA 6701, Australia",APPROXIMATE,
80,Trigg Beach Western Australia AUSTRALIA,Trigg Beach,Western Australia,AUSTRALIA,-31.8779189,115.7517755,,,APPROXIMATE,
82,Booti Booti National Park New South Wales AUSTRALIA,Booti Booti National Park,New South Wales,AUSTRALIA,-32.3127096,152.5179343,2428,"Booti Booti NSW 2428, Australia",APPROXIMATE,
83,Queenscliff Victoria AUSTRALIA,Queenscliff,Victoria,AUSTRALIA,-38.2677746,144.6286897,3225,"Queenscliff VIC 3225, Australia",APPROXIMATE,Queenscliff
84,Broken Head Beach New South Wales AUSTRALIA,Broken Head Beach,New South Wales,AUSTRALIA,-28.7018464,153.6139946,2481,"Broken Head Beach, New South Wales 2481, Australia",APPROXIMATE,Thirteenth Beach
85,Kings Beach Caloundra Queensland AUSTRALIA,Kings Beach,Queensland,AUSTRALIA,-26.801,153.141,4551,"Kings Beach QLD 4551, Australia",APPROXIMATE,Bells Beach
87,Lighthouse Beach Ballina New South Wales AUSTRALIA,Lighthouse Beach,New South Wales,AUSTRALIA,-28.8725999,153.5899247,Australia,"Lighthouse Beach, Ballina, East Ballina NSW 2478, Australia",APPROXIMATE,Tyrendarra Beach
88,Thirteenth Beach Victoria AUSTRALIA,Thirteenth Beach,Victoria,AUSTRALIA,-38.2852436,144.4587149,,,APPROXIMATE,Thirteenth Beach
89,Bells Beach Victoria AUSTRALIA,Bells Beach,Victoria,AUSTRALIA,-38.366944,144.284722,3228,"Bells Beach VIC 3228, Australia",APPROXIMATE,Bells Beach
90,Bunbury Western Australia AUSTRALIA,Bunbury,Western Australia,AUSTRALIA,-33.3209971,115.6383482,6230,"Bunbury WA 6230, Australia",APPROXIMATE,Winkipop Beach
91,Injidup Western Australia AUSTRALIA,Injidup,Western Australia,AUSTRALIA,-33.6930914,114.9857991,,,APPROXIMATE,Cape Nelson
92,Near Albany Western Australia AUSTRALIA,Near Albany,Western Australia,AUSTRALIA,-35.0269344,117.8837206,6330,"Albany WA 6330, Australia",APPROXIMATE,
94,Clifton Beach Tasmania AUSTRALIA,Clifton Beach,Tasmania,AUSTRALIA,-42.989444,147.521667,7020,"Clifton Beach TAS 7020, Australia",APPROXIMATE,
95,20 k off The Spit off the Gold Coast Queensland AUSTRALIA,20 k off The Spit,Queensland,AUSTRALIA,-27.9352516,153.4334768,4217,"Seaworld Dr, Main Beach QLD 4217, Australia",GEOMETRIC_CENTER,
96,Palm Cove Queensland AUSTRALIA,Palm Cove,Queensland,AUSTRALIA,-16.74405,145.67095,4879,"Palm Cove QLD 4879, Australia",APPROXIMATE,
97,Coral Bay Western Australia AUSTRALIA,Coral Bay,Western Australia,AUSTRALIA,-23.1436708,113.7715359,6701,"Coral Bay WA 6701, Australia",APPROXIMATE,
98,Mindarie Western Australia AUSTRALIA,Mindarie,Western Australia,AUSTRALIA,-31.6900771,115.7060487,6030,"Mindarie WA 6030, Australia",APPROXIMATE,
99,Kingscliff New South Wales AUSTRALIA,Kingscliff,New South Wales,AUSTRALIA,-28.2645938,153.5776602,2487,"Kingscliff NSW 2487, Australia",APPROXIMATE,
100,Falcon Beach Mandurah Western Australia AUSTRALIA,Falcon Beach,Western Australia,AUSTRALIA,-32.5785751,115.6535813,,,APPROXIMATE,
101,First Sun Beach Byron Bay New South Wales AUSTRALIA,First Sun Beach,New South Wales,AUSTRALIA,-28.6410983,153.611705,New South Wales,"First Sun Holiday Park, Lawson St, Byron Bay NSW 2481, Australia",GEOMETRIC_CENTER,
102,Bombo Beach New South Wales AUSTRALIA,Bombo Beach,New South Wales,AUSTRALIA,-34.6560412,150.8556659,2533,"Bombo Beach, New South Wales 2533, Australia",APPROXIMATE,
103,North Cronulla Beach New South Wales AUSTRALIA,North Cronulla Beach,New South Wales,AUSTRALIA,-34.0496066,151.1572211,Australia,"North Cronulla Beach, Cronulla NSW 2230, Australia",APPROXIMATE,
104,Wrights Bay South Australia AUSTRALIA,Wrights Bay,South Australia,AUSTRALIA,-37.0330556,139.7411111,,,APPROXIMATE,
105,Nettley Bay Tasmania AUSTRALIA,Nettley Bay,Tasmania,AUSTRALIA,-40.93,144.62,,,APPROXIMATE,
106,Stradbroke Island Queensland AUSTRALIA,Stradbroke Island,Queensland,AUSTRALIA,-27.5323174,153.4626077,4183,"North Stradbroke Island, Queensland 4183, Australia",APPROXIMATE,
107,Hams Beach New South Wales AUSTRALIA,Hams Beach,New South Wales,AUSTRALIA,-33.097531,151.658097,Australia,"Hams Beach, Swansea Heads NSW 2281, Australia",APPROXIMATE,
108,Happy Valley Beach Caloundra Queensland AUSTRALIA,Happy Valley Beach,Queensland,AUSTRALIA,-26.8071839,153.1342489,Queensland,"Happy Valley, Esplanade Bulcock Beach, Caloundra QLD 4551, Australia",GEOMETRIC_CENTER,
109,Heron Island Queensland AUSTRALIA,Heron Island,Queensland,AUSTRALIA,-23.4422976,151.9148004,4805,"Heron Island, Queensland 4805, Australia",APPROXIMATE,
110,Miall Island Queensland AUSTRALIA,Miall Island,Queensland,AUSTRALIA,-23.1528552,150.9052831,Australia,"Miall (Ma-ma-lon-bi) Island, The Keppels QLD 4700, Australia",APPROXIMATE,
111,Bondi Beach New South Wales AUSTRALIA,Bondi Beach,New South Wales,AUSTRALIA,-33.8914755,151.2766845,Australia,"Bondi Beach, NSW 2026, Australia",APPROXIMATE,
112,Lake Macquarie New South Wales AUSTRALIA,Lake Macquarie,New South Wales,AUSTRALIA,-33.0311225,151.5603244,,,APPROXIMATE,
113,East Ballina New South Wales AUSTRALIA,East Ballina,New South Wales,AUSTRALIA,-28.8537305,153.5865127,2478,"East Ballina NSW 2478, Australia",APPROXIMATE,
114,Bald Island Western Australia AUSTRALIA,Bald Island,Western Australia,AUSTRALIA,-34.9233188,118.4688776,6328,"Bald Island, Western Australia 6328, Australia",APPROXIMATE,
115,Pyramids Beach Western Australia AUSTRALIA,Pyramids Beach,Western Australia,AUSTRALIA,-32.6036041,115.6304031,6211,"Dawesville WA 6211, Australia",GEOMETRIC_CENTER,
116,Russel Island Frankland Group Queensland AUSTRALIA,Russel Island,Queensland,AUSTRALIA,-17.2291545,146.0940022,Australia,"Russell Island, East Russell QLD 4861, Australia",APPROXIMATE,
117,North Shelly Beach New South Wales AUSTRALIA,North Shelly Beach,New South Wales,AUSTRALIA,-33.3699595,151.4858695,2261,"Shelly Beach NSW 2261, Australia",APPROXIMATE,
118,Hallidays Point New South Wales AUSTRALIA,Hallidays Point,New South Wales,AUSTRALIA,-32.0683509,152.5149982,2430,"Hallidays Point NSW 2430, Australia",APPROXIMATE,
121,Tyrendarra Beach Victoria AUSTRALIA,Tyrendarra Beach,Victoria,AUSTRALIA,-38.216667,141.783333,,,APPROXIMATE,Tyrendarra Beach
122,Lachan Island Mercury Passage Tasmania AUSTRALIA,Lachan Island,Tasmania,AUSTRALIA,-42.6427436,147.9776183,,,APPROXIMATE,
123,Tyrendarra Beach near Portland Victoria AUSTRALIA,Tyrendarra Beach near Portland,Victoria,AUSTRALIA,-38.2507144,141.806322,Australia,"Fitzroy River, Tyrendarra VIC 3285, Australia",APPROXIMATE,Queenscliff
126,Flat Rock Yamba New South Wales AUSTRALIA,Flat Rock,New South Wales,AUSTRALIA,-29.4372663,153.3652792,New South Wales,"4 Queen St, Yamba NSW 2464, Australia",ROOFTOP,
127,Rottnest Island Western Australia AUSTRALIA,Rottnest Island,Western Australia,AUSTRALIA,-32.0063677,115.5073002,6161,"Rottnest Island WA 6161, Australia",APPROXIMATE,
128,Denmark Western Australia AUSTRALIA,Denmark,Western Australia,AUSTRALIA,-34.9617565,117.35065,6333,"Denmark WA 6333, Australia",APPROXIMATE,
129,Saltwater Beach New South Wales AUSTRALIA,Saltwater Beach,New South Wales,AUSTRALIA,-32.0108318,152.5628989,Australia,"Saltwater Beach, Diamond Beach NSW 2430, Australia",APPROXIMATE,
130,Fishery Bay South Australia AUSTRALIA,Fishery Bay,South Australia,AUSTRALIA,-34.9141667,135.6861111,,,APPROXIMATE,
131,Belongil Beach Byron Bay New South Wales AUSTRALIA,Belongil Beach,New South Wales,AUSTRALIA,-28.6337328,153.6003455,Australia,"Belongil Beach, Byron Bay NSW 2481, Australia",APPROXIMATE,
132,McKenzies Beach New South Wales AUSTRALIA,McKenzies Beach,New South Wales,AUSTRALIA,-35.8043718,150.226363,Australia,"Mckenzies Beach, Malua Bay NSW 2536, Australia",APPROXIMATE,
133,Julian Rocks Byron Bay New South Wales AUSTRALIA,Julian Rocks,New South Wales,AUSTRALIA,-28.643716,153.615072,Byron Shire Council,"11/8 Middleton St, Byron Bay NSW 2481, Australia",ROOFTOP,
134,Shelly Beach New South Wales AUSTRALIA,Shelly Beach,New South Wales,AUSTRALIA,-33.3699595,151.4858695,2261,"Shelly Beach NSW 2261, Australia",APPROXIMATE,
135,Seven Mile Beach Byron Bay New South Wales AUSTRALIA,Seven Mile Beach,New South Wales,AUSTRALIA,-28.7186968,153.6118865,Australia,"Seven Mile Beach Rd, Broken Head NSW 2481, Australia",GEOMETRIC_CENTER,
136,Mereweather Beach New South Wales AUSTRALIA,Mereweather Beach,New South Wales,AUSTRALIA,-32.9465493,151.7599466,,,APPROXIMATE,
137,Nerang River Surfers Paradise Queensland AUSTRALIA,Nerang River,Queensland,AUSTRALIA,-27.9889011,153.4257263,4217,"Nerang River, Queensland 4217, Australia",APPROXIMATE,
138,Flat Rock New South Wales AUSTRALIA,Flat Rock,New South Wales,AUSTRALIA,-35.2341806,150.5299293,Australia,"Flat Rock Beach, Bendalong NSW 2539, Australia",APPROXIMATE,
139,Wategos Beach Byon Bay New South Wales AUSTRALIA,Wategos Beach,New South Wales,AUSTRALIA,-28.6364053,153.633824,,,APPROXIMATE,
140,Off Blacksmith Beach New South Wales AUSTRALIA,Off Blacksmith Beach,New South Wales,AUSTRALIA,-33.0515891,151.6680509,,,APPROXIMATE,
141,Mollymook Beach Bannister Head New South Wales AUSTRALIA,Mollymook Beach,New South Wales,AUSTRALIA,-35.3201228,150.4755673,Australia,"Bannister Head Rd, Mollymook Beach NSW 2539, Australia",GEOMETRIC_CENTER,
142,Bherwerre Beach New South Wales AUSTRALIA,Bherwerre Beach,New South Wales,AUSTRALIA,-35.1637346,150.6497392,,,APPROXIMATE,
143,Three Stripes near Cheynes Beach Western Australia AUSTRALIA,Three Stripes near Cheynes Beach,Western Australia,AUSTRALIA,-34.88414,118.404629,Western Australia,"12 Bald Island Road, Cheynes WA 6328, Australia",ROOFTOP,
144,Paradise Beach Victoria AUSTRALIA,Paradise Beach,Victoria,AUSTRALIA,-38.1992076,147.4033451,3851,"Paradise Beach VIC 3851, Australia",APPROXIMATE,Paradise Beach
145,Rudder Reef Queensland AUSTRALIA,Rudder Reef,Queensland,AUSTRALIA,-16.1906218,145.6990989,4805,"Rudder Reef, Queensland 4805, Australia",APPROXIMATE,
146,Pyramids Beach Port Bouvard Western Australia AUSTRALIA,Pyramids Beach,Western Australia,AUSTRALIA,-32.6036041,115.6304031,6211,"Dawesville WA 6211, Australia",GEOMETRIC_CENTER,
147,Freo Western Australia AUSTRALIA,Freo,Western Australia,AUSTRALIA,-32.0518191,115.7551085,6160,"Fremantle WA 6160, Australia",APPROXIMATE,
148,Moonee Beach New South Wales AUSTRALIA,Moonee Beach,New South Wales,AUSTRALIA,-30.1895467,153.1501948,2450,"Moonee Beach NSW 2450, Australia",APPROXIMATE,
149,Wallabi Point New South Wales AUSTRALIA,Wallabi Point,New South Wales,AUSTRALIA,-31.9920486,152.5590443,2430,"Wallabi Point NSW 2430, Australia",APPROXIMATE,
151,Castle Rock north of Dunsborough Western Australia AUSTRALIA,Castle Rock,Western Australia,AUSTRALIA,-33.5837629,115.0900006,Australia,"Castle Rock Rd, Dunsborough WA 6281, Australia",GEOMETRIC_CENTER,
152,Kelpids Beach Wylie Bay Esperance Western Australia AUSTRALIA,Kelpids Beach,Western Australia,AUSTRALIA,-33.8356954,121.9840825,Australia,"Wylie Bay Rd, Bandy Creek WA 6450, Australia",GEOMETRIC_CENTER,
153,Clarkes Beach Byron Bay New South Wales AUSTRALIA,Clarkes Beach,New South Wales,AUSTRALIA,-28.6396907,153.6272755,Australia,"Clarkes Beach, Byron Bay NSW 2481, Australia",APPROXIMATE,
154,Gnaraloo Western Australia AUSTRALIA,Gnaraloo,Western Australia,AUSTRALIA,-23.8214,113.523903,Australia,"Gnaraloo, Macleod WA 6701, Australia",APPROXIMATE,
155,Middleton Point Fleurieu Peninsula South Australia AUSTRALIA,Middleton Point,South Australia,AUSTRALIA,-35.5142799,138.70844,Australia,"Middleton Point, Middleton SA 5213, Australia",APPROXIMATE,
157,Horizontal Falls Western Australia AUSTRALIA,Horizontal Falls,Western Australia,AUSTRALIA,-17.947279,122.231078,Western Australia,"Hangar, 14 Gus Winckel Rd, Djugun WA 6725, Australia",ROOFTOP,
158,Parsons Beach Fleurieu Peninsula South Australia AUSTRALIA,Parsons Beach,South Australia,AUSTRALIA,-35.6305742,138.4671696,Australia,"Parsons Beach, Waitpinga SA 5211, Australia",APPROXIMATE,
159,Seven Mile Beach Gerroa New South Wales AUSTRALIA,Seven Mile Beach,New South Wales,AUSTRALIA,-34.7699,150.813133,2534,"Gerroa NSW 2534, Australia",APPROXIMATE,
160,Nerang River near Chevron Island Queensland AUSTRALIA,Nerang River near Chevron Island,Queensland,AUSTRALIA,-27.9973446,153.4198464,Australia,"Chevron Island, Surfers Paradise QLD 4217, Australia",APPROXIMATE,
161,The Australian Shark and Ray Centre New South Wales AUSTRALIA,The Australian Shark and Ray Centre,New South Wales,AUSTRALIA,-32.7706261,151.9986267,Port Stephens Council,"Irukandji Shark & Ray Encounters, 686 Marsh Rd, Bobs Farm NSW 2316, Australia",ROOFTOP,
162,Elliston Eyre Peninsula South Australia AUSTRALIA,Elliston,South Australia,AUSTRALIA,-34.3333333,135.75,Australia,"Eyre Peninsula, Cummins SA 5631, Australia",APPROXIMATE,
