hospital_name,hospital_address,state,peer_group,hospital_type,interval,time_period,resuscitation_cohort_percent_patient_seen_on_time,emergency_cohort_percent_patient_seen_on_time,urgent_cohort_percent_patient_seen_on_time,semi_urgent_cohort_percent_patient_seen_on_time,non_urgent_cohort_percent_patient_seen_on_time,hospital_latitude,hospital_longitude,hospital_location_type,hospital_postal_code,hospital_formatted_address,hospital_place_id
"Bathurst Health Service Hospital,","Bathurst Health Service Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,89,86,92,98,-33.4061491,149.5724713,ROOFTOP,New South Wales,"361 Howick St, West Bathurst NSW 2795, Australia",ChIJdXXrItXlEWsR6MTqHv5GM1E
"Batlow/Adelong Multi Purpose Service Hospital,","Batlow/Adelong Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,63,89,99,100,-35.5226421,148.1480804,ROOFTOP,Tumut Council,"61/81 Pioneer St, Batlow NSW 2730, Australia",ChIJceHn4WCmImsRjkKF7ZsdFwk
"Bellinger River District Hospital Hospital,","Bellinger River District Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,89,89,92,97,-30.456896,152.8935744,GEOMETRIC_CENTER,Australia,"Church St, Bellingen NSW 2454, Australia",ChIJP8q72twhnGsRXWnge1sqzNc
"Belmont Hospital Hospital,","Belmont Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,85,82,93,-33.0247004,151.6481805,ROOFTOP,New South Wales,"16 Croudace Bay Rd, Belmont NSW 2280, Australia",ChIJQ2CBmSYjc2sRUAfw-Wh9AQ8
"Berrigan Multi Purpose Service Hospital,","Berrigan Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,88,94,98,100,-35.6627652,145.8128234,ROOFTOP,New South Wales,"39 Memorial Dr, Berrigan NSW 2712, Australia",ChIJs0q7YnKVIGsRytFrlG8yJUo
"Bingara Multi Purpose Service Hospital,","Bingara Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,99,100,100,100,-29.864026,150.5788989,ROOFTOP,New South Wales,"8A Copeton Dam Rd, Bingara NSW 2404, Australia",ChIJQ72M04F1oWsRNy2_qvFD4AY
"Blacktown Hospital Hospital,","Blacktown Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,89,78,82,92,-33.775703,150.9170523,ROOFTOP,New South Wales,"18 Blacktown Rd, Blacktown NSW 2148, Australia",ChIJBYYfpleYEmsRMArw-Wh9AQ8
"Blayney Multi Purpose Service Hospital,","Blayney Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,96,97,100,100,-33.5377015,149.2506995,ROOFTOP,New South Wales,"3 Osman St, Blayney NSW 2799, Australia",ChIJDdSRA9e3EWsR9L9gHE-RmOw
"Blue Mountains Hospital Hospital,","Blue Mountains Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,77,79,78,90,-33.7051183,150.3209669,ROOFTOP,New South Wales,"1 Woodlands Rd, Katoomba NSW 2780, Australia",ChIJbShYVoluEmsRlXSFiEQLKRM
"Boggabri Multi Purpose Service Hospital,","Boggabri Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,93,82,95,99,-30.711653,150.0402431,ROOFTOP,New South Wales,"3 Wee Waa St, Boggabri NSW 2382, Australia",ChIJ8yraKhemoGsRBtK8wbl_5UM
"Bombala Multi Purpose Service Hospital,","Bombala Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,79,93,98,99,-36.917555,149.235566,GEOMETRIC_CENTER,2632,"Wellington Street, Bombala NSW 2632, Australia",ChIJMb0rW6l7PGsRat5cQmVzCqo
"Boorowa Multi Purpose Service Hospital,","Boorowa Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,76,95,98,100,-34.4431287,148.7270754,ROOFTOP,New South Wales,"62-80 Dry St, Boorowa NSW 2586, Australia",ChIJycwDZFJJF2sRo5dlU0Vu3NY
"Bourke Multi Purpose Service Hospital,","Bourke Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,88,95,,-30.092793,145.9476882,ROOFTOP,New South Wales,"26 Tarcoon St, Bourke NSW 2840, Australia",ChIJ2UYlmhdEAGsRfKZ9qH_7lX0
"Bowral Hospital Hospital,","Bowral Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,70,75,79,91,-34.4848355,150.4234368,ROOFTOP,New South Wales,"97-103 Bowral St, Bowral NSW 2576, Australia",ChIJY1itk5aiE2sRw8EJx0vbpYU
"Braidwood Multi Purpose Service Hospital,","Braidwood Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,92,93,96,99,-35.443796,149.8058611,ROOFTOP,New South Wales,"73 Monkittee St, Braidwood NSW 2622, Australia",ChIJt0-2hTB4FmsRFoBj-i0DnZo
"Brewarrina Multi Purpose Service Hospital,","Brewarrina Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,68,80,94,99,-29.9614887,146.8640098,ROOFTOP,New South Wales,"56 Doyle St, Brewarrina NSW 2839, Australia",ChIJz5tmyU-qAGsRqmh91LtgXmo
"Broken Hill Hospital Hospital,","Broken Hill Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,77,78,85,95,-31.9475641,141.4556064,ROOFTOP,New South Wales,"176 Thomas St, Broken Hill NSW 2880, Australia",ChIJqXwtqJ-u7moRoM79c7UJBg8
"Bulahdelah Hospital Hospital,","Bulahdelah Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,100,100,-32.4042398,152.2093154,APPROXIMATE,2423,"Bulahdelah NSW 2423, Australia",ChIJg2SuT8xmdGsR8J1DkLQJBgQ
"Bulli Hospital Hospital,","Bulli Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,78,82,89,99,-34.3364191,150.907538,GEOMETRIC_CENTER,Australia,"Hospital Rd, Bulli NSW 2516, Australia",ChIJQ_OUVlMeE2sRx5bIoq_HiQg
"Byron Central Hospital Hospital,","Byron Central Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,81,87,96,-28.6373653,153.5558978,ROOFTOP,New South Wales,"54 Ewingsdale Rd, Ewingsdale NSW 2481, Australia",ChIJ29M06b-JkGsR4AxibsdQpMI
"Calvary Mater Newcastle Hospital Hospital,","Calvary Mater Newcastle Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,84,82,88,-32.8986031,151.7210754,GEOMETRIC_CENTER,Australia,"Edith &, Platt St, Waratah NSW 2298, Australia",ChIJuzefkHMVc2sR0Abw-Wh9AQ8
"Camden Hospital Hospital,","Camden Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,94,94,97,99,-34.0627908,150.6937303,ROOFTOP,New South Wales,"61 Menangle Rd, Camden NSW 2570, Australia",ChIJY9zOQq7vEmsRuDaIyzk-gxg
"Campbelltown Hospital Hospital,","Campbelltown Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,82,84,94,-34.078017,150.8059728,GEOMETRIC_CENTER,Australia,"Therry Rd, Campbelltown NSW 2560, Australia",ChIJ02jQX67vEmsRFNlKPaHKhxE
"Canowindra Hospital Hospital,","Canowindra Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,88,91,96,98,-33.5571028,148.6763527,GEOMETRIC_CENTER,Australia,"Browns Ave, Canowindra NSW 2804, Australia",ChIJDcMIxjhmEGsRANH9c7UJBg8
"Canterbury Hospital Hospital,","Canterbury Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,76,80,93,-33.9194418,151.0983962,ROOFTOP,New South Wales,"575 Canterbury Rd, Campsie NSW 2194, Australia",ChIJU0sbfUq6EmsRsrbus4bsNW0
"Casino Hospital Hospital,","Casino Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,87,81,78,92,-28.8599057,153.0361843,GEOMETRIC_CENTER,Australia,"Hotham St, Casino NSW 2470, Australia",ChIJE_2pZkgPmmsRaHL8PpJxj54
"Central Coast Hospital,","Central Coast Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,75,57,71,94,-33.4203006,151.3394105,GEOMETRIC_CENTER,Australia,"Holden St, Gosford NSW 2250, Australia",ChIJny9jXKXKcmsRkAbw-Wh9AQ8
"Cessnock Hospital Hospital,","Cessnock Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,79,75,92,-32.828074,151.3483469,ROOFTOP,New South Wales,"24 View St, Cessnock NSW 2325, Australia",ChIJJ14bOsI0c2sRPiIZpkIaDcs
"Cobar Health Service Hospital,","Cobar Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,95,99,100,-31.50792319999999,145.8253814,ROOFTOP,New South Wales,"35 Woodiwiss Ave, Cobar NSW 2835, Australia",ChIJt8uHb7hgAmsRU49-rwfc4N8
"Coffs Harbour Hospital Hospital,","Coffs Harbour Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,93,75,75,90,-30.317403,153.0936743,ROOFTOP,New South Wales,"345 Pacific Hwy, Coffs Harbour NSW 2450, Australia",ChIJac8FOBwOnGsREND9c7UJBg8
"Collarenebri Multi Purpose Service Hospital,","Collarenebri Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,85,85,,85,-29.544873,148.5820433,ROOFTOP,New South Wales,"62 Walgett St, Collarenebri NSW 2833, Australia",ChIJ3QUWlus6pmsRvg_BQ7cuSpY
"Concord Hospital Hospital,","Concord Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,76,81,95,-33.8374705,151.0925689,GEOMETRIC_CENTER,Australia,"Hospital Rd, Concord NSW 2139, Australia",ChIJK2Z-xh-lEmsR4Anw-Wh9AQ8
"Condobolin Health Service Hospital,","Condobolin Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,90,95,99,100,-33.0821463,147.1541333,GEOMETRIC_CENTER,2877,"Condobolin NSW 2877, Australia",ChIJz_AQrDduG2sR4M39c7UJBg8
"Coolah Multi Purpose Service Hospital,","Coolah Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,84,96,97,99,-31.821537,149.709993,ROOFTOP,New South Wales,"111-135 Martin St, Coolah NSW 2843, Australia",ChIJywcuZlFaCWsRYS5bY7MPgqg
"Coolamon Multi Purpose Service Hospital,","Coolamon Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,75,88,96,98,-34.8203087,147.1994772,GEOMETRIC_CENTER,Australia,"Dr Buchanan Dr, Coolamon NSW 2701, Australia",ChIJVaadGSnBGGsR3-kzJo_snK0
"Cooma Hospital Hospital,","Cooma Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,82,80,81,93,-36.24153099999999,149.129742,GEOMETRIC_CENTER,Australia,"Bent St, Cooma NSW 2630, Australia",ChIJ1dOCJEGoPWsRwM_9c7UJBg8
"Coonabarabran Health Service Hospital,","Coonabarabran Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,76,94,98,99,-31.2746602,149.2842417,ROOFTOP,New South Wales,"101-103 Edwards St, Coonabarabran NSW 2357, Australia",ChIJMa7L0d4HCWsRkNL9c7UJBg8
"Coonamble Multi Purpose Service Hospital,","Coonamble Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,86,98,100,100,-30.964663,148.388105,ROOFTOP,New South Wales,"150 Castlereagh St, Coonamble NSW 2829, Australia",ChIJYxl5mnZ_CGsRYXDCV2Hg29o
"Cootamundra Hospital Hospital,","Cootamundra Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,75,92,97,99,-34.6345275,148.0129419,ROOFTOP,New South Wales,"148 MacKay St, Cootamundra NSW 2590, Australia",ChIJh4i-_wPIGWsRJMYsUL4K0So
"Corowa Hospital Hospital,","Corowa Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,95,98,100,-35.9933573,146.3836432,GEOMETRIC_CENTER,Australia,"Guy St, Corowa NSW 2646, Australia",ChIJ0avxQMs6IWsRAwyh5DRcsRM
"Cowra Health Service Hospital,","Cowra Health Service Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,84,91,96,99,-33.8322648,148.6925566,ROOFTOP,New South Wales,"64 Liverpool St, Cowra NSW 2794, Australia",ChIJ21VxnAeNEGsR3dX9CTGa67M
"Crookwell Hospital Hospital,","Crookwell Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,83,87,89,97,-34.4642171,149.468027,ROOFTOP,New South Wales,"19 Kialla Rd, Crookwell NSW 2583, Australia",ChIJydi7LR82EWsRp_uEnAjeDzo
"Culcairn Multi Purpose Service Hospital,","Culcairn Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,73,94,98,100,-35.667625,147.0422278,ROOFTOP,Greater Hume Shire Council,"51/55 Balfour St, Culcairn NSW 2660, Australia",ChIJ8Wt5MZAuImsRIOlHPYSLomo
"Delegate Multi Purpose Service Hospital,","Delegate Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,71,95,100,-37.044956,148.945959,ROOFTOP,New South Wales,"15 Craigie St, Delegate NSW 2633, Australia",ChIJRaLgQxV7O2sRM4ZmHDY_X4w
"Deniliquin Hospital Hospital,","Deniliquin Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,97,96,98,100,-35.5244188,144.9628197,ROOFTOP,New South Wales,"411 Charlotte St, Deniliquin NSW 2710, Australia",ChIJvQa9EdM632oRZa5WBSLGG_c
"Denman Multi Purpose Service Hospital,","Denman Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-32.389614,150.6844201,ROOFTOP,New South Wales,"51-53 Ogilvie St, Denman NSW 2328, Australia",ChIJB8fesS-EDGsRK6cdH17ISmE
"Dorrigo Multi Purpose Service Hospital,","Dorrigo Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,85,89,94,99,-30.3406102,152.7137062,GEOMETRIC_CENTER,Australia,"Beech St, Dorrigo NSW 2453, Australia",ChIJrQaSLOqjnmsRrrDWTO9psC8
"Dubbo Hospital Hospital,","Dubbo Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,90,74,75,92,-32.2402158,148.6214637,GEOMETRIC_CENTER,Australia,"Myall St, Dubbo NSW 2830, Australia",ChIJzfTxs8FxD2sRcM79c7UJBg8
"Dunedoo Multi Purpose Service Hospital,","Dunedoo Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,81,81,,,-32.0170467,149.3970941,ROOFTOP,New South Wales,"31 Digilah St, Dunedoo NSW 2844, Australia",ChIJG4R7EePLDmsRdDgoLI_lfYw
"Dungog Hospital Hospital,","Dungog Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,78,82,92,99,-32.4018502,151.7462074,ROOFTOP,New South Wales,"22 Hospital Rd, Dungog NSW 2420, Australia",ChIJ964Nak2YdGsRBTyewg3RGO4
"Fairfield Hospital Hospital,","Fairfield Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,79,72,75,89,-33.8599169,150.9047719,GEOMETRIC_CENTER,2176,"Polding St & Prairie Vale Road, Prairiewood NSW 2176, Australia",ChIJ5_yTK_mWEmsReeGzKGW__Vo
"Far West Hospital,","Far West Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,80,82,88,96,-33.7988747,151.28783,ROOFTOP,New South Wales,"14-18 Wentworth St, Manly NSW 2095, Australia",ChIJN5GMSyuNGmsRi3-gd4r7ciE
"Finley Hospital Hospital,","Finley Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,83,96,97,100,-35.6414321,145.5681719,ROOFTOP,New South Wales,"20-22 Dawe St, Finley NSW 2713, Australia",ChIJ927f03mhIGsRZXN1U9YcWVc
"Gilgandra Multi Purpose Service Hospital,","Gilgandra Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,65,85,91,94,-31.7041731,148.6648399,ROOFTOP,New South Wales,"6 Chelmsford Ave, Gilgandra NSW 2827, Australia",ChIJ5eDCTIq0CGsRENH9c7UJBg8
"Glen Innes Hospital Hospital,","Glen Innes Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,83,77,80,92,-29.7329555,151.7322904,ROOFTOP,Glen Innes Severn Shire Council,"Glen Innes District Hospital, 94 Taylor St, Glen Innes NSW 2370, Australia",ChIJCdlcWrzJmGsRthaOaD0pK1s
"Gloucester Hospital Hospital,","Gloucester Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,,93,90,95,99,-32.0148504,151.9583543,GEOMETRIC_CENTER,Australia,"Church St, Gloucester NSW 2422, Australia",ChIJfZoUrPL7dGsRgZdwDvMOiOg
"Gosford Hospital Hospital,","Gosford Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,79,57,65,90,-33.4203006,151.3394105,GEOMETRIC_CENTER,Australia,"Holden St, Gosford NSW 2250, Australia",ChIJny9jXKXKcmsRkAbw-Wh9AQ8
"Goulburn Hospital Hospital,","Goulburn Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,83,71,72,90,-34.7472503,149.7129987,ROOFTOP,New South Wales,"130 Goldsmith St, Goulburn NSW 2580, Australia",ChIJt6vtxPyuFmsRwM79c7UJBg8
"Grafton Base Hospital Hospital,","Grafton Base Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,73,78,76,93,-29.6754432,152.9406223,ROOFTOP,New South Wales,"184 Arthur St, Grafton NSW 2460, Australia",ChIJkQWp8Ozbm2sRMNH9c7UJBg8
"Grenfell Multi Purpose Service Hospital,","Grenfell Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,53,86,89,,-33.89435539999999,148.1673418,ROOFTOP,New South Wales,"80-96 Cowra Rd, Grenfell NSW 2810, Australia",ChIJKzq6or8SGmsRrei8cc0ZbfQ
"Griffith Hospital Hospital,","Griffith Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,96,79,83,91,-34.281952,146.0433745,ROOFTOP,New South Wales,"1 Noorebar Ave, Griffith NSW 2680, Australia",ChIJq1CoZRKuH2sRkM79c7UJBg8
"Gulargambone Multi Purpose Service Hospital,","Gulargambone Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-31.3298542,148.4695818,ROOFTOP,New South Wales,"47 Bourbah St, Gulargambone NSW 2828, Australia",ChIJOwLxD9CYCGsR9HyiGnky-BM
"Gulgong Multi Purpose Service Hospital,","Gulgong Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,88,93,98,98,-32.3668402,149.5219799,ROOFTOP,Mid-Western Regional Council,"District Hospital, 34 Goolma Rd, Gulgong NSW 2852, Australia",ChIJTduZEWGUDmsRkyOtyHGHMXg
"Gundagai Hospital Hospital,","Gundagai Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,100,100,100,100,-35.0530244,148.1021263,ROOFTOP,New South Wales,"50 Tor St, Gundagai NSW 2722, Australia",ChIJRVwDZP87GGsRZx6ssvZevoA
"Gunnedah Hospital Hospital,","Gunnedah Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,83,71,73,92,-30.9847125,150.2490669,ROOFTOP,New South Wales,"2 Marquis St, Gunnedah NSW 2380, Australia",ChIJkfV_i45yCmsRz_eocMekWIY
"Guyra Multi Purpose Service Hospital,","Guyra Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,86,89,96,99,-30.2126794,151.679136,ROOFTOP,New South Wales,"44-45 Sole St, Guyra NSW 2365, Australia",ChIJK8unXCBrn2sRqaW3F5ZHC9M
"Hawkesbury Hospital Hospital,","Hawkesbury Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,70,80,85,97,-33.6104319,150.8203877,ROOFTOP,New South Wales,"2 Day St, Windsor NSW 2756, Australia",ChIJk43yrmZiDWsRgAbw-Wh9AQ8
"Hay Hospital Hospital,","Hay Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,74,89,95,98,-34.5003815,144.8518237,ROOFTOP,New South Wales,"351 Murray St, Hay NSW 2711, Australia",ChIJuWIcThPU32oRIJbclpyKgT8
"Henty Multi Purpose Service Hospital,","Henty Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,89,96,98,99,-35.515688,147.0315229,ROOFTOP,New South Wales,"7 Keighran St, Henty NSW 2658, Australia",ChIJWRGyhyIjImsR_31vpAMldpY
"Hillston Hospital Hospital,","Hillston Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,100,100,100,-33.4789295,145.5388518,ROOFTOP,New South Wales,"48C Burns St, Hillston NSW 2675, Australia",ChIJYwkeJ38BHmsRIAxUsXJ3Qk0
"Holbrook Hospital Hospital,","Holbrook Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,72,79,95,100,-35.7241965,147.3202715,ROOFTOP,New South Wales,"30 Bowler St, Holbrook NSW 2644, Australia",ChIJj_PYyqxJImsRmqd-bHSQp5c
"Hornsby Ku-ring-gai Hospital Hospital,","Hornsby Ku-ring-gai Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,83,86,95,-33.7026271,151.1125393,GEOMETRIC_CENTER,Australia,"Palmerston Rd, Hornsby NSW 2077, Australia",ChIJ8ThQOIqnEmsR8Afw-Wh9AQ8
"Hunter New England Hospital,","Hunter New England Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,81,,,90,-32.9227052,151.6927281,GEOMETRIC_CENTER,Australia,"Lookout Rd, New Lambton Heights NSW 2305, Australia",ChIJLa8TtB4-c2sRkAvw-Wh9AQ8
"Illawarra Shoalhaven Hospital,","Illawarra Shoalhaven Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,,81,70,78,93,-34.8683639,150.5952018,GEOMETRIC_CENTER,Australia,"Scenic Dr, Nowra NSW 2541, Australia",ChIJP6VKEx2AFGsRbKQYmBcHYC8
"Inverell Hospital Hospital,","Inverell Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,88,85,85,94,-29.770353,151.129852,ROOFTOP,New South Wales,"41 Swanbrook Rd, Inverell NSW 2360, Australia",ChIJ6Zc0T1v3oWsRAM79c7UJBg8
"Ivanhoe Hospital Hospital,","Ivanhoe Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,100,99,100,-32.8945014,144.2952073,ROOFTOP,New South Wales,"11 Columbus St, Ivanhoe NSW 2878, Australia",ChIJNw8u4fbk42oRuP43FANL_0g
